split,regime,task,seed,episodes,mismatch,success_rate,utility,mechanism_precision,incompatible_retrieval_rate,recovery_success,damage_rate,query_cost,regret,calibration_error,retrieval_coverage,ablation
combined_stress,source_matched,drawer_pull_with_stiction,0,96,0.3452000000,0.7916666667,0.8907138221,0.6819800000,0.0799651040,0.6394828214,0.0377345573,0.2179626667,0.0906477389,0.0519046417,0.7672724938,full_action_conditioned_mechanism_retrieval
combined_stress,source_matched,drawer_pull_with_stiction,1,96,0.3452000000,0.8437500000,0.9431341313,0.6829110000,0.0806251040,0.6403837214,0.0372332573,0.2176205000,0.0911812227,0.0523202017,0.7678353738,full_action_conditioned_mechanism_retrieval
combined_stress,source_matched,drawer_pull_with_stiction,2,96,0.3452000000,0.8125000000,0.9109244405,0.6838420000,0.0812851040,0.6412846214,0.0382319573,0.2184450000,0.0917147065,0.0527357617,0.7683982538,full_action_conditioned_mechanism_retrieval
combined_stress,source_matched,drawer_pull_with_stiction,3,96,0.3452000000,0.6875000000,0.7886347008,0.6847730000,0.0719401040,0.6425356964,0.0402178073,0.2205820000,0.0917916621,0.0529912417,0.7695614338,full_action_conditioned_mechanism_retrieval
combined_stress,source_matched,drawer_pull_with_stiction,4,96,0.3452000000,0.7708333333,0.8727912600,0.6857040000,0.0726001040,0.6434365964,0.0391540073,0.2198023333,0.0923251459,0.0534068017,0.7701243138,full_action_conditioned_mechanism_retrieval
combined_stress,source_matched,drawer_pull_with_stiction,5,96,0.3452000000,0.8541666667,0.9549868392,0.6726280000,0.0732601040,0.6443374964,0.0380902073,0.2190226667,0.0928586297,0.0538223617,0.7615626338,full_action_conditioned_mechanism_retrieval
combined_stress,source_matched,drawer_pull_with_stiction,6,96,0.3452000000,0.8333333333,0.9333558984,0.6735590000,0.0739201040,0.6452383964,0.0389014073,0.2197013333,0.0933921135,0.0542379217,0.7621255138,full_action_conditioned_mechanism_retrieval
combined_stress,source_matched,drawer_pull_with_stiction,7,96,0.3452000000,0.7500000000,0.8482524576,0.6744900000,0.0745801040,0.6461392964,0.0408376073,0.2212550000,0.0939255973,0.0546534817,0.7626883938,full_action_conditioned_mechanism_retrieval
combined_stress,source_matched,drawer_pull_with_stiction,8,96,0.3452000000,0.8020833333,0.9006727668,0.6754210000,0.0752401040,0.6470401964,0.0403363073,0.2209128333,0.0944590811,0.0550690417,0.7632512738,full_action_conditioned_mechanism_retrieval
combined_stress,source_matched,drawer_pull_with_stiction,9,96,0.3452000000,0.8125000000,0.9128591160,0.6763520000,0.0759001040,0.6479410964,0.0405850073,0.2211540000,0.0869885649,0.0554846017,0.7638141538,full_action_conditioned_mechanism_retrieval
combined_stress,friction_mismatch,drawer_pull_with_stiction,0,96,0.4100000000,0.7187500000,0.8069819912,0.6751030000,0.0840132000,0.6471785380,0.0474554240,0.2227335000,0.1002633803,0.0560992112,0.7583994480,full_action_conditioned_mechanism_retrieval
combined_stress,friction_mismatch,drawer_pull_with_stiction,1,96,0.4100000000,0.7708333333,0.8593913195,0.6760550000,0.0846882000,0.6480999130,0.0469641740,0.2224003333,0.1008091706,0.0565240112,0.7589751080,full_action_conditioned_mechanism_retrieval
combined_stress,friction_mismatch,drawer_pull_with_stiction,2,96,0.4100000000,0.7812500000,0.8679993850,0.6770070000,0.0853632000,0.6350142880,0.0472229240,0.2226505000,0.0936030868,0.0569488112,0.7595507680,full_action_conditioned_mechanism_retrieval
combined_stress,friction_mismatch,drawer_pull_with_stiction,3,96,0.4100000000,0.7083333333,0.7934637133,0.6779590000,0.0860382000,0.6359356630,0.0489816740,0.2240673333,0.0941488771,0.0573736112,0.7601264280,full_action_conditioned_mechanism_retrieval
combined_stress,friction_mismatch,drawer_pull_with_stiction,4,96,0.4100000000,0.7291666667,0.8141367916,0.6789110000,0.0867132000,0.6368570380,0.0490529240,0.2241716667,0.0946946673,0.0577984112,0.7607020880,full_action_conditioned_mechanism_retrieval
combined_stress,friction_mismatch,drawer_pull_with_stiction,5,96,0.4100000000,0.7708333333,0.8591350910,0.6658560000,0.0773832000,0.6381285880,0.0480488240,0.2239843333,0.0947839294,0.0580631312,0.7607574880,full_action_conditioned_mechanism_retrieval
combined_stress,friction_mismatch,drawer_pull_with_stiction,6,96,0.4100000000,0.6666666667,0.7528631692,0.6668080000,0.0780582000,0.6390499630,0.0503700740,0.2258386667,0.0953297197,0.0584879312,0.7613331480,full_action_conditioned_mechanism_retrieval
combined_stress,friction_mismatch,drawer_pull_with_stiction,7,96,0.4100000000,0.7500000000,0.8370087475,0.6677600000,0.0787332000,0.6399713380,0.0493163240,0.2250680000,0.0958755099,0.0529097312,0.7619088080,full_action_conditioned_mechanism_retrieval
combined_stress,friction_mismatch,drawer_pull_with_stiction,8,96,0.4100000000,0.7187500000,0.8083898758,0.6687120000,0.0794082000,0.6408927130,0.0443220740,0.2259015000,0.0964213002,0.0533345312,0.7544804680,full_action_conditioned_mechanism_retrieval
combined_stress,friction_mismatch,drawer_pull_with_stiction,9,96,0.4100000000,0.8541666667,0.9454292041,0.6696640000,0.0800832000,0.6418140880,0.0423308240,0.2244016667,0.0969670904,0.0537593312,0.7550561280,full_action_conditioned_mechanism_retrieval
combined_stress,support_topology_shift,drawer_pull_with_stiction,0,96,0.4388000000,0.7708333333,0.8552369988,0.6755750000,0.0867795760,0.6449471148,0.0518155703,0.2230993333,0.0977680329,0.0564032732,0.7550272254,full_action_conditioned_mechanism_retrieval
combined_stress,support_topology_shift,drawer_pull_with_stiction,1,96,0.4388000000,0.8333333333,0.9162457955,0.6625550000,0.0874795760,0.6459026148,0.0511535703,0.2226353333,0.0983343339,0.0568434732,0.7545036254,full_action_conditioned_mechanism_retrieval
combined_stress,support_topology_shift,drawer_pull_with_stiction,2,96,0.4388000000,0.7916666667,0.8734280723,0.6635420000,0.0881795760,0.6468581148,0.0523665703,0.2236296667,0.0989006349,0.0572836732,0.7551005854,full_action_conditioned_mechanism_retrieval
combined_stress,support_topology_shift,drawer_pull_with_stiction,3,96,0.4388000000,0.7708333333,0.8518023462,0.6645290000,0.0888795760,0.6338066148,0.0472015703,0.2243323333,0.0997190619,0.0577238732,0.7556975454,full_action_conditioned_mechanism_retrieval
combined_stress,support_topology_shift,drawer_pull_with_stiction,4,96,0.4388000000,0.7708333333,0.8512996230,0.6655160000,0.0895795760,0.6347621148,0.0476645703,0.2247433333,0.1002853629,0.0581640732,0.7562945054,full_action_conditioned_mechanism_retrieval
