stress_level,method,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
0.0000000000,action_conditioned_mechanism_retrieval_v5,0,0.7687500000,0.0105913891,0.8776712436,0.0108863811,0.6877675125,0.0017330831,0.0718411036,0.0013112301,0.6490968264,0.0030325583,0.0422774648,0.0013175996,0.2130023000,0.0005801065,0.0750759068,0.0013240162,0.0430760002,0.0006073154,0.7956496848,0.0016004779,80,96
0.0000000000,action_conditioned_mechanism_retrieval_v5,1,0.7552083333,0.0119744636,0.8636566914,0.0125330530,0.6878419750,0.0016311716,0.0720143536,0.0013887795,0.6482827876,0.0030462008,0.0424812173,0.0013542011,0.2132868333,0.0005545867,0.0750288557,0.0012548446,0.0433417972,0.0006091693,0.7958838968,0.0016007976,80,96
0.0000000000,action_conditioned_mechanism_retrieval_v5,2,0.7587239583,0.0112147303,0.8676419904,0.0118263089,0.6882666125,0.0016012810,0.0715622911,0.0014892589,0.6483660723,0.0030861644,0.0421840916,0.0012911188,0.2132575271,0.0006234190,0.0750375638,0.0012696000,0.0433724767,0.0006066463,0.7959835415,0.0016688081,80,96
0.0000000000,action_conditioned_mechanism_retrieval_v5,3,0.7580729167,0.0112647923,0.8669185751,0.0120523123,0.6881659875,0.0015648082,0.0721107286,0.0015148685,0.6487645145,0.0030407997,0.0422571135,0.0013501959,0.2131364792,0.0005956560,0.0746854215,0.0013592811,0.0434191642,0.0005875300,0.7959811353,0.0016133530,80,96
0.0000000000,action_conditioned_mechanism_retrieval_v5,4,0.7622395833,0.0092509930,0.8709748750,0.0098790296,0.6884155375,0.0015613931,0.0721589161,0.0014731539,0.6486552029,0.0029322673,0.0422083991,0.0013722930,0.2131730958,0.0005866011,0.0751203076,0.0013261931,0.0433077727,0.0006202732,0.7960367580,0.0015416809,80,96
0.0000000000,action_conditioned_mechanism_retrieval_v5,5,0.7700520833,0.0109849590,0.8785279431,0.0117045021,0.6881398250,0.0016093921,0.0719569786,0.0014849761,0.6476792082,0.0028515771,0.0422266260,0.0013171383,0.2132337083,0.0005831614,0.0752593883,0.0013481181,0.0432674167,0.0006287789,0.7959653173,0.0014463521,80,96
0.0000000000,action_conditioned_mechanism_retrieval_v5,6,0.7536458333,0.0107686295,0.8619004544,0.0114377891,0.6878641125,0.0015696062,0.0720051661,0.0014976176,0.6479200717,0.0028626143,0.0423981491,0.0013620591,0.2134833083,0.0005868165,0.0753878212,0.0013564739,0.0432310627,0.0006613697,0.7963791190,0.0014183812,80,96
0.0000000000,action_conditioned_mechanism_retrieval_v5,7,0.7595052083,0.0107446779,0.8680890078,0.0113232325,0.6879385750,0.0014159229,0.0720533536,0.0015681004,0.6478107601,0.0026997378,0.0420188160,0.0013411399,0.2131210396,0.0005714516,0.0753224572,0.0013507628,0.0430446337,0.0006733511,0.7958204348,0.0014787357,80,96
0.0000000000,action_conditioned_mechanism_retrieval_v5,8,0.7614583333,0.0111092926,0.8700727102,0.0115981365,0.6878379500,0.0014910912,0.0717263536,0.0014884858,0.6478896676,0.0027104541,0.0421337573,0.0013425012,0.2131136083,0.0005365917,0.0755369719,0.0013328767,0.0429272392,0.0006109990,0.7960706548,0.0014769843,80,96
0.0000000000,action_conditioned_mechanism_retrieval_v5,9,0.7670572917,0.0113014365,0.8761529764,0.0116470626,0.6879124125,0.0014524576,0.0712742911,0.0014064702,0.6479729523,0.0028316620,0.0417991316,0.0013221741,0.2128300229,0.0005343221,0.0754456300,0.0013161151,0.0431079937,0.0005682423,0.7962423355,0.0014384636,80,96
0.0000000000,conformal_retrieval_filter,0,0.6299479167,0.0125761110,0.5915026104,0.0134522414,0.5417566625,0.0016303542,0.1702747955,0.0020191954,0.5089981972,0.0027911667,0.0732105982,0.0014214967,0.2570398792,0.0005897868,0.1292200482,0.0013024871,0.0768219017,0.0005627227,0.6033897453,0.0016636521,80,96
0.0000000000,conformal_retrieval_filter,1,0.6325520833,0.0129990503,0.5939763392,0.0139686201,0.5412008625,0.0014969761,0.1702479830,0.0020079542,0.5084363356,0.0027682230,0.0732147963,0.0014362612,0.2569783333,0.0006082546,0.1289994052,0.0013349681,0.0769644602,0.0005520421,0.6033254400,0.0016559623,80,96
0.0000000000,conformal_retrieval_filter,2,0.6220052083,0.0130911638,0.5834281381,0.0139563962,0.5411703250,0.0015857127,0.1698459830,0.0020657898,0.5087630431,0.0029198860,0.0734294501,0.0014389638,0.2572509771,0.0005665079,0.1291460845,0.0014108875,0.0768759032,0.0005150498,0.6036258170,0.0016034393,80,96
0.0000000000,conformal_retrieval_filter,3,0.6285156250,0.0107554148,0.5898513584,0.0119093963,0.5409647000,0.0014633925,0.1703194205,0.0020610433,0.5088840228,0.0030121024,0.0732482782,0.0013319464,0.2570597062,0.0006087938,0.1293358615,0.0014207702,0.0769514282,0.0005443133,0.6035595108,0.0015801229,80,96
0.0000000000,conformal_retrieval_filter,4,0.6214843750,0.0131702763,0.5825533806,0.0144422805,0.5409341625,0.0015676135,0.1704176705,0.0020859693,0.5088430465,0.0030827874,0.0734346682,0.0013904125,0.2572080937,0.0006543675,0.1295116703,0.0014108662,0.0766457627,0.0006058310,0.6032295728,0.0015821799,80,96
0.0000000000,conformal_retrieval_filter,5,0.6230468750,0.0125504850,0.5843579348,0.0136177742,0.5414288875,0.0015938370,0.1700156705,0.0021280561,0.5089946665,0.0031599375,0.0734313532,0.0013546563,0.2573112062,0.0006440974,0.1295614512,0.0014027404,0.0767823182,0.0006342923,0.6029716708,0.0015344806,80,96
0.0000000000,conformal_retrieval_filter,6,0.6337239583,0.0124202680,0.5951368017,0.0133280535,0.5410481750,0.0015323691,0.1702389830,0.0021745015,0.5089493131,0.0031705536,0.0733077476,0.0013562018,0.2569115271,0.0006332184,0.1293427666,0.0014080579,0.0767788037,0.0006703869,0.6033065650,0.0015344204,80,96
0.0000000000,conformal_retrieval_filter,7,0.6260416667,0.0143891716,0.5872306785,0.0157216881,0.5417179875,0.0014953284,0.1703372330,0.0021371050,0.5089083368,0.0030738754,0.0735808938,0.0014426109,0.2570690292,0.0006626370,0.1295185754,0.0014063111,0.0766982507,0.0006829603,0.6035329050,0.0015329386,80,96
0.0000000000,conformal_retrieval_filter,8,0.6286458333,0.0110348306,0.5901614194,0.0122237421,0.5418625375,0.0014681462,0.1701853580,0.0021273130,0.5088761150,0.0029497428,0.0733512251,0.0014533545,0.2570074833,0.0006245377,0.1291827210,0.0013784396,0.0763885832,0.0007099366,0.6031319315,0.0014616570,80,96
0.0000000000,conformal_retrieval_filter,9,0.6364583333,0.0116540148,0.5978774075,0.0123688538,0.5425323500,0.0014744380,0.1705337330,0.0020476170,0.5086512968,0.0030055007,0.0734380113,0.0014243923,0.2569480583,0.0005609416,0.1289728946,0.0013207868,0.0765371447,0.0006824684,0.6034433140,0.0014393088,80,96
0.0000000000,contrastive_mechanism_memory,0,0.6742187500,0.0115937268,0.6888474146,0.0122155714,0.5980523250,0.0015217880,0.1284068381,0.0018599803,0.5635149382,0.0028803335,0.0625957287,0.0014009065,0.2534281500,0.0005620863,0.1095050388,0.0013233830,0.0633380519,0.0006473506,0.6703347757,0.0014361017,80,96
0.0000000000,contrastive_mechanism_memory,1,0.6861979167,0.0119930388,0.7010980977,0.0127709204,0.5982108750,0.0014866565,0.1285150881,0.0018231891,0.5638377869,0.0028866845,0.0625216687,0.0014209530,0.2531663167,0.0005649893,0.1091824988,0.0012050605,0.0630385464,0.0006175490,0.6704275647,0.0014339785,80,96
0.0000000000,contrastive_mechanism_memory,2,0.6766927083,0.0131877923,0.6912591285,0.0144617369,0.5978441625,0.0016147517,0.1286233381,0.0017934218,0.5632851982,0.0030463959,0.0625341774,0.0015311806,0.2534303771,0.0005927711,0.1091758666,0.0012746202,0.0631142284,0.0006189389,0.6703782827,0.0014708662,80,96
0.0000000000,contrastive_mechanism_memory,3,0.6772135417,0.0115396627,0.6917189870,0.0124361743,0.5980027125,0.0016363385,0.1284814631,0.0017489916,0.5629164513,0.0032838424,0.0626488587,0.0014529236,0.2533289604,0.0005443422,0.1092547197,0.0012811541,0.0627356834,0.0006535192,0.6702859792,0.0014327913,80,96
0.0000000000,contrastive_mechanism_memory,4,0.6686197917,0.0116454870,0.6830034565,0.0120812143,0.5985114375,0.0016912623,0.1287147756,0.0017502891,0.5630598354,0.0031668438,0.0628037905,0.0014404419,0.2534301854,0.0005391025,0.1092411879,0.0012171520,0.0628884039,0.0006361174,0.6702992285,0.0015005270,80,96
0.0000000000,contrastive_mechanism_memory,5,0.6807291667,0.0135414234,0.6952914033,0.0142676442,0.5983198125,0.0017600351,0.1286979631,0.0016510626,0.5633870613,0.0031163406,0.0626435949,0.0014767396,0.2533166042,0.0005907640,0.1093131412,0.0012044131,0.0629620849,0.0005963922,0.6704715572,0.0014862002,80,96
0.0000000000,contrastive_mechanism_memory,6,0.6747395833,0.0093446296,0.6894394921,0.0102890786,0.5986534500,0.0017880214,0.1281809006,0.0015520976,0.5632065335,0.0029644321,0.0626991255,0.0013713082,0.2533813708,0.0005934009,0.1094717729,0.0012774676,0.0629527244,0.0005704793,0.6705158220,0.0015297376,80,96
0.0000000000,contrastive_mechanism_memory,7,0.6735677083,0.0113637106,0.6880827395,0.0121547009,0.5981116500,0.0017738080,0.1282891506,0.0015197103,0.5631792072,0.0029837749,0.0627117093,0.0013231186,0.2535287646,0.0006098337,0.1094556860,0.0013021387,0.0628783314,0.0005923522,0.6705525830,0.0015307390,80,96
0.0000000000,contrastive_mechanism_memory,8,0.6708333333,0.0120491400,0.6853532046,0.0132020866,0.5982702000,0.0016433319,0.1285224631,0.0015306529,0.5631475038,0.0029211892,0.0627611724,0.0013220352,0.2533978833,0.0007024597,0.1091451558,0.0013083040,0.0628809769,0.0005568561,0.6705378182,0.0015999728,80,96
0.0000000000,contrastive_mechanism_memory,9,0.6869791667,0.0123427942,0.7017176218,0.0131517983,0.5979034875,0.0015213348,0.1286307131,0.0016653444,0.5629450900,0.0028790222,0.0624620374,0.0013600227,0.2530026792,0.0006194626,0.1089321205,0.0013221472,0.0631067339,0.0005444918,0.6701883862,0.0016456088,80,96
0.0000000000,invariant_mechanism_alignment,0,0.6572916667,0.0127460652,0.6539771291,0.0140520479,0.5822357250,0.0016247590,0.1397447791,0.0017925093,0.5482036852,0.0031859798,0.0655718595,0.0014280147,0.2627261042,0.0006115495,0.1166281487,0.0012615248,0.0673067215,0.0005557320,0.6430378713,0.0015102266,80,96
0.0000000000,invariant_mechanism_alignment,1,0.6617187500,0.0122574010,0.6586401009,0.0133410890,0.5820511000,0.0016367362,0.1398580291,0.0017469474,0.5485333590,0.0031788641,0.0654119745,0.0013993536,0.2624979625,0.0005795569,0.1164097608,0.0012744351,0.0673854835,0.0005600605,0.6434070563,0.0015067338,80,96
0.0000000000,invariant_mechanism_alignment,2,0.6561197917,0.0125840736,0.6528756349,0.0136832782,0.5822166500,0.0015545330,0.1398462166,0.0017272187,0.5479919724,0.0030243663,0.0656489164,0.0014096298,0.2623351479,0.0005987795,0.1163014742,0.0013280495,0.0670870570,0.0006049737,0.6434115590,0.0014926510,80,96
0.0000000000,invariant_mechanism_alignment,3,0.6497395833,0.0144886380,0.6460676835,0.0154751298,0.5822071125,0.0015659049,0.1402095916,0.0016947380,0.5481378043,0.0029485474,0.0658511464,0.0014144643,0.2627085333,0.0006151220,0.1164978511,0.0013621039,0.0671698210,0.0006524950,0.6433795435,0.0015259208,80,96
0.0000000000,invariant_mechanism_alignment,4,0.6617187500,0.0128715780,0.6580105084,0.0139521286,0.5818474000,0.0015731252,0.1399476541,0.0016264164,0.5477802596,0.0030135117,0.0659042483,0.0014057290,0.2626748125,0.0006132317,0.1164750498,0.0013481639,0.0673176175,0.0006687298,0.6434570828,0.0015633134,80,96
0.0000000000,invariant_mechanism_alignment,5,0.6579427083,0.0126673950,0.6541584768,0.0134302237,0.5814876875,0.0015286220,0.1401859666,0.0016229910,0.5479304687,0.0028783741,0.0662009239,0.0013528050,0.2624114396,0.0006379131,0.1159653701,0.0013575861,0.0670231930,0.0006020687,0.6434045570,0.0015744347,80,96
0.0000000000,invariant_mechanism_alignment,6,0.6524739583,0.0123766466,0.6489295296,0.0135588172,0.5818283250,0.0016335747,0.1396739041,0.0017354670,0.5481069409,0.0028276075,0.0663254670,0.0013592723,0.2626970271,0.0006509186,0.1156215507,0.0013695722,0.0670169125,0.0006304518,0.6438532818,0.0016246675,80,96
0.0000000000,invariant_mechanism_alignment,7,0.6640625000,0.0124576826,0.6603015505,0.0137723060,0.5818187875,0.0015776234,0.1399122166,0.0018407819,0.5472066249,0.0028160420,0.0662705427,0.0013627579,0.2625187000,0.0006605459,0.1155309805,0.0013562666,0.0670976755,0.0005704053,0.6435286200,0.0016784070,80,96
0.0000000000,invariant_mechanism_alignment,8,0.6580729167,0.0125172345,0.6545818857,0.0135985300,0.5821594250,0.0016567905,0.1397753416,0.0019075625,0.5471948780,0.0027215120,0.0660555364,0.0013909628,0.2625114292,0.0006513669,0.1154075326,0.0013636449,0.0672474730,0.0005947177,0.6438547835,0.0016875727,80,96
0.0000000000,invariant_mechanism_alignment,9,0.6627604167,0.0118324785,0.6593326690,0.0125743009,0.5825000625,0.0016427242,0.1398885916,0.0018908072,0.5473494643,0.0027024633,0.0658909639,0.0013886996,0.2626548292,0.0006061445,0.1154924463,0.0013103485,0.0674763100,0.0005981343,0.6434655895,0.0016564032,80,96
0.0000000000,learned_expected_utility_retrieval,0,0.6808593750,0.0123018137,0.6952435750,0.0132557572,0.6038349750,0.0016296113,0.1233326117,0.0017376016,0.5751987236,0.0029647292,0.0612077391,0.0014490910,0.2771317062,0.0005226268,0.1057818405,0.0013815857,0.0609187268,0.0006005460,0.6809908913,0.0016090168,80,96
0.0000000000,learned_expected_utility_retrieval,1,0.6938802083,0.0132030374,0.7082378182,0.0140971445,0.6036853500,0.0015114109,0.1234708617,0.0017363798,0.5750372598,0.0029738808,0.0610599916,0.0014515397,0.2770984021,0.0005480491,0.1057935181,0.0014228315,0.0612380013,0.0006089457,0.6808811263,0.0014758435,80,96
0.0000000000,learned_expected_utility_retrieval,2,0.6863281250,0.0115310861,0.7001319281,0.0123240614,0.6031855500,0.0014489138,0.1238592367,0.0016933796,0.5739916042,0.0027999827,0.0611499903,0.0013921686,0.2772030438,0.0005561432,0.1056322668,0.0013045782,0.0609609778,0.0006224507,0.6808283898,0.0014886462,80,96
0.0000000000,learned_expected_utility_retrieval,3,0.6882812500,0.0124538436,0.7023499950,0.0130431981,0.6035611875,0.0014504460,0.1234972367,0.0016653076,0.5743729117,0.0029870143,0.0611664441,0.0013274179,0.2773246875,0.0005614917,0.1056116632,0.0013439522,0.0611972108,0.0005816819,0.6812909108,0.0014853469,80,96
0.0000000000,learned_expected_utility_retrieval,4,0.6854166667,0.0104849906,0.6991289651,0.0114300340,0.6032364750,0.0015407242,0.1236354867,0.0016538274,0.5738612730,0.0029155656,0.0613796716,0.0013466954,0.2772136292,0.0006150757,0.1057296940,0.0012470602,0.0612913728,0.0005512538,0.6812671888,0.0015157263,80,96
0.0000000000,learned_expected_utility_retrieval,5,0.6871093750,0.0129097922,0.7013512052,0.0138674667,0.6037872000,0.0016022809,0.1231484242,0.0017474659,0.5740718702,0.0028896137,0.0610168709,0.0014286660,0.2772638813,0.0006445011,0.1058065854,0.0013239024,0.0611504173,0.0005882989,0.6815511205,0.0015930970,80,96
0.0000000000,learned_expected_utility_retrieval,6,0.6808593750,0.0124085797,0.6951354550,0.0130628712,0.6039877500,0.0016100791,0.1227864242,0.0016988717,0.5744531777,0.0029869827,0.0611809809,0.0013851765,0.2774253313,0.0006137993,0.1061861819,0.0012900963,0.0610865003,0.0006076903,0.6814993845,0.0015912652,80,96
0.0000000000,learned_expected_utility_retrieval,7,0.6899739583,0.0114924125,0.7044690348,0.0125289331,0.6041883000,0.0016028373,0.1227996117,0.0016710758,0.5746462661,0.0029746219,0.0610947916,0.0014345472,0.2774467146,0.0006654202,0.1057856497,0.0012769053,0.0610285863,0.0005917631,0.6816252373,0.0016060614,80,96
0.0000000000,learned_expected_utility_retrieval,8,0.6868489583,0.0099752995,0.7014023911,0.0108814293,0.6045639375,0.0016395752,0.1228127992,0.0017586000,0.5743140920,0.0029507636,0.0607786897,0.0013932625,0.2774893771,0.0006051936,0.1060949223,0.0013068711,0.0608205973,0.0006250659,0.6810647470,0.0015657004,80,96
0.0000000000,learned_expected_utility_retrieval,9,0.6903645833,0.0118246721,0.7047434404,0.0128857050,0.6042392250,0.0015051904,0.1232011742,0.0017387022,0.5743189614,0.0029945754,0.0608945822,0.0014256606,0.2771389208,0.0005907267,0.1061148615,0.0013804553,0.0606186113,0.0006206586,0.6809259675,0.0015571962,80,96
0.0000000000,model_predictive_retrieval_arbitration,0,0.6910156250,0.0125181236,0.7188906613,0.0131374596,0.6153996625,0.0015168041,0.1157839655,0.0016749858,0.5859310137,0.0029503962,0.0585609463,0.0013403562,0.2691626187,0.0005839592,0.1000347202,0.0013450864,0.0586941859,0.0006416767,0.6974652351,0.0015481214,80,96
0.0000000000,model_predictive_retrieval_arbitration,1,0.6937500000,0.0104294874,0.7216653760,0.0109811117,0.6156282125,0.0014836893,0.1158171530,0.0017045214,0.5856261396,0.0030894229,0.0585279632,0.0013016980,0.2689851750,0.0005920251,0.0999602014,0.0013954885,0.0590237794,0.0006565409,0.6977081778,0.0015589049,80,96
0.0000000000,model_predictive_retrieval_arbitration,2,0.7010416667,0.0102044560,0.7290218242,0.0107314462,0.6158567625,0.0014614248,0.1161004655,0.0016486182,0.5858377737,0.0029771532,0.0584304576,0.0012869773,0.2687439292,0.0006199660,0.1000877410,0.0013663252,0.0591322624,0.0006423601,0.6975359131,0.0015072512,80,96
0.0000000000,model_predictive_retrieval_arbitration,3,0.6958333333,0.0124835982,0.7239703683,0.0131758364,0.6162604000,0.0014924629,0.1157584655,0.0017204624,0.5862463812,0.0029903161,0.0585141801,0.0013906760,0.2688277583,0.0006339136,0.1003836961,0.0013720544,0.0589305904,0.0006474898,0.6974151741,0.0015102038,80,96
0.0000000000,model_predictive_retrieval_arbitration,4,0.6968750000,0.0119887760,0.7248913844,0.0124651991,0.6164889500,0.0015193597,0.1160417780,0.0016936038,0.5861078403,0.0029989203,0.0585291745,0.0014468172,0.2688240875,0.0005401999,0.1003174389,0.0013448979,0.0590390734,0.0006545358,0.6975430593,0.0015232818,80,96
